Player,Nation,Pos,Squad,Comp,Age,Min,MP,Gls,Ast,G+A,G-PK,PK,xG,xAG,npxG,npxG+xAG,PrgC,PrgP,PrgR,CrdY,CrdR,Gls/90,Ast/90,xG/90,market_value_eur_M,over_xG,cluster,cluster_label,GA_pred_lr,GA_pred_rf,xG_diff
Chris Richards,us USA,DF,Crystal Palace,eng Premier League,24.0,1922,24,1,0,1,1,0,1.4,0.1,1.4,1.5,6,39,2,4,1,0.047,0.0,0.065,17.3,0,0,Mediocampista Creativo,1.34,1.01,-0.4
Amir Richardson,ma MAR,MF,Fiorentina,it Serie A,22.0,1024,26,1,1,2,1,0,0.9,0.6,0.9,1.5,19,47,31,6,0,0.088,0.088,0.079,27.7,1,0,Mediocampista Creativo,1.36,1.77,0.1
Richarlison,br BRA,FW,Tottenham,eng Premier League,27.0,504,15,4,1,5,4,0,3.7,0.9,3.7,4.6,8,11,22,2,0,0.714,0.179,0.661,68.0,1,0,Mediocampista Creativo,4.58,4.2,0.3
Diego Rico,es ESP,DF,Getafe,es La Liga,31.0,2819,33,0,3,3,0,0,0.4,2.7,0.4,3.1,27,136,84,9,1,0.0,0.096,0.013,17.9,0,1,Delantero Goleador,2.99,2.92,-0.4
Fabian Rieder,ch SUI,MF,Stuttgart,de Bundesliga,22.0,867,21,1,3,4,1,0,1.4,2.0,1.4,3.4,20,38,61,1,0,0.104,0.312,0.146,34.0,0,0,Mediocampista Creativo,3.23,3.62,-0.4
Luis Rioja,es ESP,MF,Valencia,es La Liga,30.0,2831,36,5,3,8,3,2,3.3,4.5,1.7,6.2,93,103,228,6,0,0.159,0.095,0.105,59.0,1,1,Delantero Goleador,8.04,7.86,1.7
Rodrigo Riquelme,es ESP,MF,Atlético Madrid,es La Liga,24.0,516,16,0,1,1,0,0,0.9,0.8,0.9,1.7,43,24,62,0,0,0.0,0.175,0.158,22.3,0,0,Mediocampista Creativo,1.61,1.3,-0.9
Mihailo Ristić,rs SRB,DF,Celta Vigo,es La Liga,28.0,429,10,0,1,1,0,0,0.0,0.2,0.0,0.2,8,10,11,1,0,0.0,0.208,0.0,13.8,0,0,Mediocampista Creativo,-0.1,0.71,0.0
Lars Ritzka,de GER,DF,St. Pauli,de Bundesliga,26.0,922,21,1,0,1,1,0,0.4,0.2,0.4,0.6,8,21,34,1,0,0.098,0.0,0.039,16.1,1,0,Mediocampista Creativo,0.34,0.94,0.6
Sergi Roberto,es ESP,MF,Como,it Serie A,32.0,696,13,0,1,1,0,0,0.7,0.7,0.7,1.4,10,36,19,4,0,0.0,0.13,0.091,22.0,0,0,Mediocampista Creativo,1.19,1.05,-0.7
Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,30.0,2482,33,0,1,1,0,0,1.2,4.6,1.2,5.8,64,176,108,3,1,0.0,0.036,0.043,15.2,0,1,Delantero Goleador,5.9,2.8,-1.2
Antonee Robinson,us USA,DF,Fulham,eng Premier League,26.0,3167,36,0,10,10,0,0,0.7,4.2,0.7,4.9,118,131,274,8,0,0.0,0.284,0.02,30.8,0,1,Delantero Goleador,5.08,8.15,-0.7
Jay Robinson,eng ENG,MF,Southampton,eng Premier League,17.0,137,4,0,0,0,0,0,0.0,0.7,0.0,0.7,3,1,10,0,0,0.0,0.0,0.0,18.0,0,0,Mediocampista Creativo,0.35,0.1,0.0
